"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",1,1,0,1,0,2,1,NA
"Cascada_100",1,0,0,1,0,1,0,NA
"Cascada_120",0,0,0,0,0,1,0,NA
"Cascada_140",0,0,0,0,1,1,1,NA
"Cascada_160",0,0,0,0,1,0,1,NA
"Cascada_180",0,0,0,0,0,0,1,NA
"Cascada_20",1,0,0,0,0,2,3,NA
"Cascada_40",1,0,0,0,0,1,0,NA
"Cascada_60",0,0,0,0,0,0,0,NA
"Cascada_80",0,0,0,0,0,2,1,NA
"Guabal_0",0,0,0,0,0,1,0,NA
"Guabal_100",0,0,1,1,0,0,0,NA
"Guabal_120",0,0,0,1,0,0,1,NA
"Guabal_140",0,2,0,1,1,1,2,NA
"Guabal_160",0,0,0,2,1,1,0,NA
"Guabal_180",1,1,0,0,1,0,0,NA
"Guabal_20",0,0,0,0,0,0,0,NA
"Guabal_40",0,0,0,1,0,0,0,NA
"Guabal_60",0,0,0,1,0,0,0,NA
"Guabal_80",0,1,0,0,1,1,0,NA
"LoopStream_0",1,0,0,0,1,0,NA,NA
"LoopStream_100",0,0,0,0,2,1,NA,NA
"LoopStream_120",0,0,0,0,0,0,NA,NA
"LoopStream_140",1,0,0,0,0,0,NA,NA
"LoopStream_160",2,0,0,0,0,0,NA,NA
"LoopStream_180",0,0,0,0,0,1,NA,NA
"LoopStream_20",1,0,0,0,0,0,NA,NA
"LoopStream_40",0,0,0,0,0,0,NA,NA
"LoopStream_60",0,0,0,0,0,0,NA,NA
"LoopStream_80",1,0,1,0,0,1,NA,NA
"LoopTrail_0",0,0,0,0,0,0,0,NA
"LoopTrail_100",0,0,0,0,0,0,0,NA
"LoopTrail_120",0,0,0,0,0,0,0,NA
"LoopTrail_140",0,0,0,0,0,0,0,NA
"LoopTrail_160",0,0,0,0,0,0,0,NA
"LoopTrail_180",0,0,0,0,0,0,0,NA
"LoopTrail_20",0,0,0,0,0,0,0,NA
"LoopTrail_200",0,0,0,0,0,0,0,NA
"LoopTrail_220",0,0,0,0,0,0,0,NA
"LoopTrail_240",0,0,0,0,0,0,0,NA
"LoopTrail_260",0,0,0,0,0,0,0,NA
"LoopTrail_280",0,0,0,0,0,0,0,NA
"LoopTrail_300",0,0,0,0,0,0,0,NA
"LoopTrail_320",0,0,0,0,0,0,0,NA
"LoopTrail_340",0,0,0,0,0,0,0,NA
"LoopTrail_360",0,0,0,0,0,0,0,NA
"LoopTrail_40",0,0,0,0,0,0,0,NA
"LoopTrail_60",0,0,0,0,0,0,0,NA
"LoopTrail_80",0,0,0,0,0,0,0,NA
"MainTrail_0",0,0,0,0,0,0,0,NA
"MainTrail_100",0,0,0,0,0,0,0,NA
"MainTrail_120",0,0,0,0,0,0,0,NA
"MainTrail_140",0,0,0,0,0,0,0,NA
"MainTrail_160",0,0,0,0,0,0,0,NA
"MainTrail_180",0,0,0,0,0,0,0,NA
"MainTrail_20",0,0,0,0,0,0,0,NA
"MainTrail_200",0,0,0,0,0,0,0,NA
"MainTrail_220",0,0,0,0,0,0,0,NA
"MainTrail_240",0,0,0,0,0,0,0,NA
"MainTrail_260",0,0,0,0,0,0,0,NA
"MainTrail_280",0,0,0,0,0,0,0,NA
"MainTrail_300",0,0,0,0,0,0,0,NA
"MainTrail_320",0,0,0,0,0,0,0,NA
"MainTrail_340",0,0,0,0,0,0,0,NA
"MainTrail_360",0,0,0,0,0,0,0,NA
"MainTrail_380",0,0,0,0,0,0,0,NA
"MainTrail_40",0,0,0,0,0,0,0,NA
"MainTrail_60",0,0,0,0,0,0,0,NA
"MainTrail_80",0,0,0,0,0,0,0,NA
"Silenciosa_0",0,0,0,0,0,0,0,NA
"Silenciosa_100",0,0,0,1,3,0,1,NA
"Silenciosa_120",1,0,0,1,1,0,0,NA
"Silenciosa_140",0,0,0,0,0,0,0,NA
"Silenciosa_160",0,0,0,1,2,1,1,NA
"Silenciosa_180",1,0,0,1,1,0,2,NA
"Silenciosa_20",0,1,0,1,1,0,0,NA
"Silenciosa_40",0,0,0,0,0,0,1,NA
"Silenciosa_60",0,0,0,0,0,0,0,NA
"Silenciosa_80",0,0,0,0,0,1,0,NA
"Verrugosa_0",0,0,0,0,0,0,0,NA
"Verrugosa_100",0,0,0,0,0,0,0,NA
"Verrugosa_120",0,0,0,0,0,0,0,NA
"Verrugosa_140",0,0,0,0,0,0,0,NA
"Verrugosa_160",0,0,0,0,0,0,0,NA
"Verrugosa_180",0,0,0,0,0,0,0,NA
"Verrugosa_20",0,0,0,0,0,0,0,NA
"Verrugosa_200",0,0,0,0,0,0,0,NA
"Verrugosa_220",0,0,0,0,0,0,0,NA
"Verrugosa_240",0,0,0,0,0,0,0,NA
"Verrugosa_260",0,0,0,0,0,0,0,NA
"Verrugosa_280",0,0,0,0,0,0,0,NA
"Verrugosa_300",0,0,0,0,0,0,0,NA
"Verrugosa_320",0,0,0,0,0,0,0,NA
"Verrugosa_340",0,0,0,0,0,0,0,NA
"Verrugosa_360",0,0,0,0,0,0,0,NA
"Verrugosa_380",0,0,0,0,0,0,0,NA
"Verrugosa_40",0,0,0,0,0,0,2,NA
"Verrugosa_60",0,0,0,0,0,0,0,NA
"Verrugosa_80",0,0,0,0,0,0,0,NA
