"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",1,1,1,1,0,1,2,1
"Cascada_100",0,0,2,0,0,0,1,0
"Cascada_120",0,0,2,1,2,0,1,1
"Cascada_140",4,0,6,2,0,0,1,2
"Cascada_160",1,0,0,0,1,0,0,0
"Cascada_180",3,1,4,2,1,1,0,1
"Cascada_20",4,1,3,3,2,2,0,3
"Cascada_40",4,0,3,2,3,0,1,2
"Cascada_60",1,0,1,0,1,0,0,1
"Cascada_80",0,0,0,1,0,0,0,0
"Guabal_0",0,0,1,0,0,0,0,0
"Guabal_100",1,0,1,1,2,0,0,1
"Guabal_120",3,0,0,2,0,0,0,4
"Guabal_140",2,0,2,2,1,0,0,3
"Guabal_160",0,0,0,4,3,0,1,2
"Guabal_180",2,0,1,0,1,2,0,2
"Guabal_20",0,0,0,1,1,2,0,0
"Guabal_40",0,0,0,0,0,0,0,2
"Guabal_60",0,0,0,0,1,0,0,1
"Guabal_80",1,0,1,1,1,0,0,2
"LoopStream_0",2,1,1,0,0,0,0,NA
"LoopStream_100",1,2,1,1,2,0,3,NA
"LoopStream_120",1,0,0,2,1,0,0,NA
"LoopStream_140",1,1,0,0,1,0,1,NA
"LoopStream_160",1,1,0,1,0,0,0,NA
"LoopStream_180",2,0,0,0,0,0,0,NA
"LoopStream_20",1,0,0,1,1,0,0,NA
"LoopStream_40",6,1,1,0,4,1,0,NA
"LoopStream_60",1,0,0,0,1,0,0,NA
"LoopStream_80",2,1,0,0,0,1,0,NA
"LoopTrail_0",0,1,0,0,0,0,0,NA
"LoopTrail_100",1,2,0,0,0,0,0,NA
"LoopTrail_120",1,0,0,0,0,0,1,NA
"LoopTrail_140",1,0,0,0,1,0,0,NA
"LoopTrail_160",0,0,2,2,1,0,0,NA
"LoopTrail_180",0,0,2,1,0,0,1,NA
"LoopTrail_20",1,0,2,1,2,0,1,NA
"LoopTrail_200",0,0,1,0,1,0,0,NA
"LoopTrail_220",0,0,0,1,0,1,0,NA
"LoopTrail_240",1,1,1,0,0,0,2,NA
"LoopTrail_260",0,0,0,0,0,0,1,NA
"LoopTrail_280",1,0,0,0,0,0,0,NA
"LoopTrail_300",0,0,0,0,0,0,0,NA
"LoopTrail_320",1,0,0,0,1,0,0,NA
"LoopTrail_340",1,1,0,0,1,0,0,NA
"LoopTrail_360",0,0,0,0,0,0,0,NA
"LoopTrail_40",0,0,2,0,1,1,0,NA
"LoopTrail_60",1,1,0,2,1,0,0,NA
"LoopTrail_80",0,0,0,1,0,0,0,NA
"MainTrail_0",1,1,0,1,0,0,0,NA
"MainTrail_100",0,1,0,1,1,1,1,NA
"MainTrail_120",1,1,0,2,1,0,0,NA
"MainTrail_140",0,0,0,1,0,0,0,NA
"MainTrail_160",1,1,1,1,0,0,0,NA
"MainTrail_180",0,0,0,1,0,0,0,NA
"MainTrail_20",0,0,0,1,1,2,1,NA
"MainTrail_200",0,0,1,0,0,0,0,NA
"MainTrail_220",3,1,1,0,0,0,0,NA
"MainTrail_240",1,0,0,0,0,0,0,NA
"MainTrail_260",0,0,0,0,0,0,0,NA
"MainTrail_280",0,0,0,0,0,0,1,NA
"MainTrail_300",0,0,1,0,0,0,0,NA
"MainTrail_320",2,0,1,0,0,1,0,NA
"MainTrail_340",2,1,5,1,0,1,0,NA
"MainTrail_360",0,2,1,1,0,0,0,NA
"MainTrail_380",0,0,0,0,0,0,0,NA
"MainTrail_40",1,0,1,0,1,0,1,NA
"MainTrail_60",1,0,0,0,0,0,1,NA
"MainTrail_80",0,0,0,1,0,0,1,NA
"Silenciosa_0",0,0,0,0,0,1,NA,NA
"Silenciosa_100",0,1,1,0,0,0,NA,NA
"Silenciosa_120",0,0,0,0,0,0,NA,NA
"Silenciosa_140",1,0,1,0,0,0,NA,NA
"Silenciosa_160",0,0,1,0,0,0,NA,NA
"Silenciosa_180",0,1,1,0,0,0,NA,NA
"Silenciosa_20",0,0,1,0,0,0,NA,NA
"Silenciosa_40",1,2,0,1,0,0,NA,NA
"Silenciosa_60",1,0,0,0,0,0,NA,NA
"Silenciosa_80",0,0,0,0,0,1,NA,NA
"Verrugosa_0",1,0,0,0,0,1,0,NA
"Verrugosa_100",0,0,0,1,1,1,2,NA
"Verrugosa_120",1,1,0,0,1,1,0,NA
"Verrugosa_140",3,0,0,1,2,1,1,NA
"Verrugosa_160",6,4,1,1,5,1,2,NA
"Verrugosa_180",0,0,1,0,0,2,1,NA
"Verrugosa_20",0,0,0,0,0,0,0,NA
"Verrugosa_200",0,1,1,0,1,2,1,NA
"Verrugosa_220",2,0,3,1,0,0,0,NA
"Verrugosa_240",0,3,1,0,0,1,0,NA
"Verrugosa_260",2,0,0,0,1,1,1,NA
"Verrugosa_280",1,0,0,0,1,0,0,NA
"Verrugosa_300",0,0,2,1,1,0,1,NA
"Verrugosa_320",0,0,0,1,0,0,1,NA
"Verrugosa_340",0,0,0,0,1,1,1,NA
"Verrugosa_360",0,1,0,0,0,2,0,NA
"Verrugosa_380",0,0,1,0,0,1,0,NA
"Verrugosa_40",0,0,0,0,1,2,0,NA
"Verrugosa_60",2,1,0,0,0,1,0,NA
"Verrugosa_80",1,0,0,1,2,1,2,NA
